Rank,Country,Continent,Score,Economy,Health,Freedom,Corruption
73,Montenegro,Europe,5.523,1.051,0.871,0.197,0.373
74,Tajikistan,Asia,5.467,0.493,0.718,0.389,0.309
75,Croatia,Europe,5.432,1.155,0.914,0.296,0.431
76,Hong Kong,Asia,5.43,1.438,1.122,0.44,0.166
77,Dominican Republic,North America,5.425,1.015,0.779,0.497,0.352
78,Bosnia and Herzegovina,Europe,5.386,0.945,0.845,0.212,0.447
79,Turkey,Europe,5.373,1.183,0.808,0.195,0.347
80,Malaysia,Asia,5.339,1.221,0.828,0.508,0.429
81,Belarus,Europe,5.323,1.067,0.789,0.235,0.311
82,Greece,Europe,5.287,1.181,0.999,0.067,0.419
83,Mongolia,Asia,5.285,0.948,0.667,0.317,0.415
84,North Macedonia,Europe,5.274,0.983,0.838,0.345,0.419
85,Nigeria,Africa,5.265,0.696,0.245,0.426,0.412
86,Kyrgyzstan,Asia,5.261,0.551,0.723,0.508,0.43
87,Turkmenistan,Asia,5.247,1.052,0.657,0.394,0.425
88,Algeria,Africa,5.211,1.002,0.785,0.086,0.339
89,Morocco,Africa,5.208,0.801,0.782,0.418,0.377
90,Azerbaijan,Europe,5.208,1.043,0.769,0.351,0.271
91,Lebanon,Asia,5.197,0.987,0.815,0.216,0.426
92,Indonesia,Asia,5.192,0.931,0.66,0.491,0.425
93,China,Asia,5.191,1.029,0.893,0.521,0.353
94,Vietnam,Asia,5.175,0.741,0.851,0.543,0.38
95,Bhutan,Asia,5.082,0.813,0.604,0.457,0.286
96,Cameroon,Africa,5.044,0.549,0.331,0.381,0.416
97,Bulgaria,Europe,5.011,1.092,0.815,0.311,0.449
98,Ghana,Africa,4.996,0.611,0.486,0.381,0.413
99,Ivory Coast,Africa,4.944,0.569,0.232,0.352,0.363
100,Nepal,Asia,4.913,0.446,0.677,0.439,0.364
101,Jordan,Asia,4.906,0.837,0.815,0.383,0.323
102,Benin,Africa,4.883,0.393,0.397,0.349,0.371
103,Congo (Brazzaville),Africa,4.812,0.673,0.508,0.372,0.36
104,Gabon,Africa,4.799,1.057,0.571,0.295,0.398
105,Laos,Asia,4.796,0.764,0.551,0.547,0.289
106,South Africa,Africa,4.722,0.96,0.469,0.389,0.398
107,Albania,Europe,4.719,0.947,0.874,0.383,0.426
108,Venezuela,South America,4.707,0.96,0.805,0.154,0.406
109,Cambodia,Asia,4.7,0.574,0.637,0.609,0.391
110,Palestinian Territories,Asia,4.696,0.657,0.672,0.225,0.387
111,Senegal,Africa,4.681,0.45,0.571,0.292,0.381
112,Somalia,Africa,4.668,0,0.268,0.559,0.183
113,Namibia,Africa,4.639,0.879,0.477,0.401,0.397
114,Niger,Africa,4.628,0.138,0.366,0.318,0.351
115,Burkina Faso,Africa,4.587,0.331,0.38,0.255,0.34
116,Armenia,Europe,4.559,0.85,0.815,0.283,0.389
117,Iran,Asia,4.548,1.1,0.785,0.305,0.328
118,Guinea,Africa,4.534,0.38,0.375,0.332,0.367
119,Georgia,Europe,4.519,0.886,0.752,0.346,0.289
120,Gambia,Africa,4.516,0.308,0.428,0.382,0.286
121,Kenya,Africa,4.509,0.512,0.581,0.431,0.4
122,Mauritania,Africa,4.49,0.57,0.489,0.066,0.365
123,Mozambique,Africa,4.466,0.204,0.39,0.494,0.315
124,Tunisia,Africa,4.461,0.921,0.815,0.167,0.398
125,Bangladesh,Asia,4.456,0.562,0.723,0.527,0.31
126,Iraq,Asia,4.437,1.043,0.574,0.241,0.364
127,Congo (Kinshasa),Africa,4.418,0.094,0.357,0.269,0.4
128,Mali,Africa,4.39,0.385,0.308,0.327,0.401
129,Sierra Leone,Africa,4.374,0.268,0.242,0.309,0.408
130,Sri Lanka,Asia,4.366,0.949,0.831,0.47,0.406
131,Myanmar,Asia,4.36,0.71,0.555,0.525,0.281
132,Chad,Africa,4.35,0.35,0.192,0.174,0.375
133,Ukraine,Europe,4.332,0.82,0.739,0.178,0.443
134,Ethiopia,Africa,4.286,0.336,0.532,0.344,0.353
135,Swaziland,Europe,4.212,0.811,0,0.313,0.318
136,Uganda,Africa,4.189,0.332,0.443,0.356,0.393
137,Egypt,Africa,4.166,0.913,0.644,0.241,0.386
138,Zambia,Africa,4.107,0.578,0.426,0.431,0.366
139,Togo,Africa,4.085,0.275,0.41,0.293,0.368
140,India,Asia,4.015,0.755,0.588,0.498,0.368
141,Liberia,Africa,3.975,0.073,0.443,0.37,0.42
142,Comoros,Africa,3.973,0.274,0.505,0.142,0.375
143,Madagascar,Africa,3.933,0.274,0.555,0.148,0.412
144,Lesotho,Africa,3.802,0.489,0.168,0.359,0.36
145,Burundi,Africa,3.775,0.046,0.38,0.22,0.273
146,Zimbabwe,Africa,3.663,0.366,0.433,0.361,0.364
147,Haiti,North America,3.597,0.323,0.449,0.026,0.343
148,Botswana,Africa,3.488,1.041,0.538,0.455,0.353
149,Syria,Asia,3.462,0.619,0.44,0.013,0.312
150,Malawi,Africa,3.41,0.191,0.495,0.443,0.364
151,Yemen,Asia,3.38,0.287,0.463,0.143,0.376
152,Rwanda,Africa,3.334,0.359,0.614,0.555,0.042
153,Tanzania,Africa,3.231,0.476,0.499,0.417,0.306
154,Afghanistan,Asia,3.203,0.35,0.361,0,0.428
155,Central African Republic,Africa,3.083,0.026,0.105,0.225,0.418
156,South Sudan,Africa,2.853,0.306,0.295,0.01,0.362
